1: A=The Thousand Good Books
2: A=From: The Death of Christian Culture by John Senior (IHS Press)
4: A=Author | B=Book Title | C=Age Group | D=Index Group
111: A=Burnett, Frances Hodgson | B=The Secret Garden | C=SCHOOL DAYS (ages 7–12) | D=2.0
112: A=Burroughs, Edgar Rice | B=Apache Devil | C=SCHOOL DAYS (ages 7–12) | D=2.0
113: A=Burroughs, Edgar Rice | B=Back to the Stone Age | C=SCHOOL DAYS (ages 7–12) | D=2.0
114: A=Burroughs, Edgar Rice | B=Chessman of Mars | C=SCHOOL DAYS (ages 7–12) | D=2.0
115: A=Burroughs, Edgar Rice | B=John Carter of Mars | C=SCHOOL DAYS (ages 7–12) | D=2.0
116: A=Burroughs, Edgar Rice | B=Jungle Tales of Tarzan | C=SCHOOL DAYS (ages 7–12) | D=2.0
117: A=Burroughs, Edgar Rice | B=Tales of Three Planets | C=SCHOOL DAYS (ages 7–12) | D=2.0
118: A=Burroughs, Edgar Rice | B=Tarzan | C=SCHOOL DAYS (ages 7–12) | D=2.0
119: A=Burroughs, Edgar Rice | B=The Return of Tarzan | C=SCHOOL DAYS (ages 7–12) | D=2.0
120: A=Burroughs, Edgar Rice | B=The Son of Tarzan | C=SCHOOL DAYS (ages 7–12) | D=2.0
121: A=Cooper, James Fenimore | B=Afloat and Ashore | C=SCHOOL DAYS (ages 7–12) | D=2.0
122: A=Cooper, James Fenimore | B=The Bravo | C=SCHOOL DAYS (ages 7–12) | D=2.0
123: A=Cooper, James Fenimore | B=The Chainbearer | C=SCHOOL DAYS (ages 7–12) | D=2.0
124: A=Cooper, James Fenimore | B=The Crater | C=SCHOOL DAYS (ages 7–12) | D=2.0
125: A=Cooper, James Fenimore | B=The Deerslayer | C=SCHOOL DAYS (ages 7–12) | D=2.0
126: A=Cooper, James Fenimore | B=The Headsman | C=SCHOOL DAYS (ages 7–12) | D=2.0
127: A=Cooper, James Fenimore | B=The Heidenmauer | C=SCHOOL DAYS (ages 7–12) | D=2.0
128: A=Cooper, James Fenimore | B=Home as Found | C=SCHOOL DAYS (ages 7–12) | D=2.0
129: A=Cooper, James Fenimore | B=Homeward Bound | C=SCHOOL DAYS (ages 7–12) | D=2.0
130: A=Cooper, James Fenimore | B=Jack Tier | C=SCHOOL DAYS (ages 7–12) | D=2.0
131: A=Cooper, James Fenimore | B=The Last of the Mohicans | C=SCHOOL DAYS (ages 7–12) | D=2.0
132: A=Cooper, James Fenimore | B=Lionel Lincoln | C=SCHOOL DAYS (ages 7–12) | D=2.0
133: A=Cooper, James Fenimore | B=Mercedes of Castile | C=SCHOOL DAYS (ages 7–12) | D=2.0
134: A=Cooper, James Fenimore | B=Miles Wallingford | C=SCHOOL DAYS (ages 7–12) | D=2.0
135: A=Cooper, James Fenimore | B=The Monikins | C=SCHOOL DAYS (ages 7–12) | D=2.0
136: A=Cooper, James Fenimore | B=The Oak Openings | C=SCHOOL DAYS (ages 7–12) | D=2.0
137: A=Cooper, James Fenimore | B=The Path Finder | C=SCHOOL DAYS (ages 7–12) | D=2.0
138: A=Cooper, James Fenimore | B=The Pioneers | C=SCHOOL DAYS (ages 7–12) | D=2.0
139: A=Cooper, James Fenimore | B=The Pilot | C=SCHOOL DAYS (ages 7–12) | D=2.0
140: A=Cooper, James Fenimore | B=The Prairie | C=SCHOOL DAYS (ages 7–12) | D=2.0
141: A=Cooper, James Fenimore | B=Precaution | C=SCHOOL DAYS (ages 7–12) | D=2.0
142: A=Cooper, James Fenimore | B=The Red Rover | C=SCHOOL DAYS (ages 7–12) | D=2.0
143: A=Cooper, James Fenimore | B=The Redskins | C=SCHOOL DAYS (ages 7–12) | D=2.0
144: A=Cooper, James Fenimore | B=Satan's Toe | C=SCHOOL DAYS (ages 7–12) | D=2.0
145: A=Cooper, James Fenimore | B=The Sea Lions | C=SCHOOL DAYS (ages 7–12) | D=2.0
146: A=Cooper, James Fenimore | B=The Two Admirals | C=SCHOOL DAYS (ages 7–12) | D=2.0
147: A=Cooper, James Fenimore | B=The Water-Witch | C=SCHOOL DAYS (ages 7–12) | D=2.0
148: A=Cooper, James Fenimore | B=The Ways of the Hour | C=SCHOOL DAYS (ages 7–12) | D=2.0
149: A=Cooper, James Fenimore | B=The Wing-and-Wing | C=SCHOOL DAYS (ages 7–12) | D=2.0
150: A=Cooper, James Fenimore | B=The Ways of Wish-ton-wish | C=SCHOOL DAYS (ages 7–12) | D=2.0
151: A=Cooper, James Fenimore | B=Wyandotte | C=SCHOOL DAYS (ages 7–12) | D=2.0
152: A=Cowper, William | B=John Gilpin's Ride (illustrated by Caldecott [Warne]) | C=SCHOOL DAYS (ages 7–12) | D=2.0
153: A=Dana, Richard Henry | B=Two Years Before the Mast | C=SCHOOL DAYS (ages 7–12) | D=2.0
154: A=Defoe, Daniel | B=Robinson Crusoe | C=SCHOOL DAYS (ages 7–12) | D=2.0
155: A=Dickens, Charles | B=A Christmas Carol | C=SCHOOL DAYS (ages 7–12) | D=2.0
156: A=Dickens, Charles | B=Cricket on the Hearth | C=SCHOOL DAYS (ages 7–12) | D=2.0
157: A=Dickens, Charles | B=David Copperfield (may be reserved for adolescence or reread) | C=SCHOOL DAYS (ages 7–12) | D=2.0
158: A=Dickens, Charles | B=Oliver Twist (may be reserved for adolescence or reread) | C=SCHOOL DAYS (ages 7–12) | D=2.0
159: A=Dodge, Mary Mapes | B=Hans Brinker | C=SCHOOL DAYS (ages 7–12) | D=2.0
160: A=Garland, Hamlin | B=The Light of the Star | C=SCHOOL DAYS (ages 7–12) | D=2.0
161: A=Garland, Hamlin | B=The Long Trail | C=SCHOOL DAYS (ages 7–12) | D=2.0
162: A=Garland, Hamlin | B=Main-Traveled Roads | C=SCHOOL DAYS (ages 7–12) | D=2.0
163: A=Garland, Hamlin | B=Prairie Folks | C=SCHOOL DAYS (ages 7–12) | D=2.0
164: A=Garland, Hamlin | B=Son of the Middle Border | C=SCHOOL DAYS (ages 7–12) | D=2.0
165: A=Garland, Hamlin | B=The Spirit of Sweetwater | C=SCHOOL DAYS (ages 7–12) | D=2.0
166: A=Hawthorne, Nathaniel | B=Tanglewood Tales | C=SCHOOL DAYS (ages 7–12) | D=2.0
167: A=Henry, G.A. (George Alfred) | B=a hundred "Boys' Books" | C=SCHOOL DAYS (ages 7–12) | D=2.0
168: A=Irving, Washington | B=Sketch Book | C=SCHOOL DAYS (ages 7–12) | D=2.0
